"Price","Address","City","Province","Details","URL","Image File"
"$874,900","2263 Granite RD,","Thunder Bay","ON","4 bed 3 bath","https://www.remax.ca/luxury/on/thunder-bay-real-estate/2263-granite-rd-wp_idm73000004-27207435-lst","images/2263_Granite_RD__Thunder_Bay__ON.jpg"
"$259,900","924 Ellis RD,","Kaministiquia","ON","4 bed 1 bath","https://www.remax.ca/on/kaministiquia-real-estate/924-ellis-rd-wp_idm73000004-27207436-lst","images/924_Ellis_RD__Kaministiquia__ON.jpg"
"$329,900","433 Redwood AVE W,","Thunder Bay","ON","4 bed 2 bath","https://www.remax.ca/on/thunder-bay-real-estate/433-redwood-ave-w-wp_idm73000004-27207437-lst","images/433_Redwood_AVE_W__Thunder_Bay__ON.jpg"
"$319,900","110 Empress AVE S,","Thunder Bay","ON","2 bed 2 bath","https://www.remax.ca/on/thunder-bay-real-estate/110-empress-ave-s-wp_idm73000004-27207434-lst","images/110_Empress_AVE_S__Thunder_Bay__ON.jpg"
"$179,900","Lot 13 Jarnel Drive,","KENORA","ON","n/a bed 0 bath","https://www.remax.ca/on/kenora-real-estate/lot-13-jarnel-drive-wp_idm73000004-27207438-lst","images/Lot_13_Jarnel_Drive__KENORA__ON.jpg"
"$399,900","200 Terrance AVE,","Sault Ste. Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/200-terrance-ave-wp_idm73000004-27207428-lst","images/200_Terrance_AVE__Sault_Ste__Marie__ON.jpg"
"$1,998,000","1549 SOUTH SHORE ROAD,","Chisholm (Twp)","ON","3 bed 3 bath","https://www.remax.ca/luxury/on/chisholm-twp-real-estate/1549-south-shore-road-wp_idm73000004-27206787-lst","No Image Available"
"$249,900","217 Francis ST W,","Thunder Bay","ON","3 bed 1 bath","https://www.remax.ca/on/thunder-bay-real-estate/217-francis-st-w-wp_idm73000004-27206617-lst","No Image Available"
"$414,500","523 SIXTH AVENUE SOUTH,","KENORA","ON","3 bed 2 bath","https://www.remax.ca/on/kenora-real-estate/523-sixth-avenue-south-wp_idm73000004-27206615-lst","No Image Available"
"$239,900","Lot 13 Castlerock,","Kenora","ON","1 bed 0 bath","https://www.remax.ca/on/kenora-real-estate/lot-13-castlerock-wp_idm73000004-27206618-lst","No Image Available"
"$434,900","4 Candy Mountain DR,","Oliver/Paipoonge","ON","3 bed 1 bath","https://www.remax.ca/on/oliver-paipoonge-real-estate/4-candy-mountain-dr-wp_idm73000004-27206223-lst","No Image Available"
"$299,900","301 ALBERT Street,","Espanola","ON","n/a bed 0 bath","https://www.remax.ca/on/espanola-real-estate/301-albert-street-wp_idm73000004-27206597-lst","No Image Available"
"$369,900","45 MAIN Street S,","Markstay","ON","2 bed 1 bath","https://www.remax.ca/on/markstay-real-estate/45-main-street-s-wp_idm73000004-27206243-lst","No Image Available"
"$250,000","312-322 Mosher AVE,","Fort Frances","ON","n/a bed 0 bath","https://www.remax.ca/on/fort-frances-real-estate/312-322-mosher-ave-wp_idm73000004-27163383-lst","No Image Available"
"$329,900","1050 Beverly Drive,","Sudbury","ON","3 bed 2 bath","https://www.remax.ca/on/sudbury-real-estate/1050-beverly-drive-wp_idm73000004-27206043-lst","No Image Available"
"$124,900","124 Grosvenor AVE,","Sault Ste. Marie","ON","3 bed 1 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/124-grosvenor-ave-wp_idm73000004-27206045-lst","No Image Available"
"$459,900","1081 Sunnyside Drive,","Algoma Mills","ON","2 bed 2 bath","https://www.remax.ca/on/algoma-mills-real-estate/1081-sunnyside-drive-wp_idm73000004-26818977-lst","No Image Available"
"$449,900","902 Park ST, 902 Park Street & 11 Ninth Street S,","Kenora","ON","5 bed 1 bath","https://www.remax.ca/on/kenora-real-estate/902-park-st-902-park-street-11-ninth-street-s-wp_idm73000005-27206008-lst","images/902_Park_ST__902_Park_Street___11_Ninth_Street_S__Kenora__ON.jpg"
"$225,000","11 Otter AVE,","Manitouwadge","ON","3 bed 2 bath","https://www.remax.ca/on/manitouwadge-real-estate/11-otter-ave-wp_idm73000004-27205808-lst","images/11_Otter_AVE__Manitouwadge__ON.jpg"
"$320,000","214 Algonquin AVE S,","Thunder Bay","ON","3 bed 2 bath","https://www.remax.ca/on/thunder-bay-real-estate/214-algonquin-ave-s-wp_idm73000004-27205807-lst","images/214_Algonquin_AVE_S__Thunder_Bay__ON.jpg"
"$318,800","5 Thibeault ST,","Kapuskasing","ON","4 bed 2 bath","https://www.remax.ca/on/kapuskasing-real-estate/5-thibeault-st-wp_idm73000004-27205793-lst","images/5_Thibeault_ST__Kapuskasing__ON.jpg"
