Price,Address,City,Province,Details,URL,Image File
"$769,900","313-10 Parklawn Road,",Toronto W06,ON,2 bed 2 bath,https://www.zolo.ca/toronto-w06-real-estate/10-parklawn-road/313,images/313_10_Parklawn_Road__Toronto_W06__ON.jpg
"$3,300,000","37 Geraldton Crescent,",Toronto C15,ON,5 bed 7 bath,https://www.zolo.ca/toronto-c15-real-estate/37-geraldton-crescent,images/37_Geraldton_Crescent__Toronto_C15__ON.jpg
"$2,875","1210-167 Church Street,",Toronto C08,ON,2 bed 1 bath,https://www.zolo.ca/toronto-c08-real-estate/167-church-street/1210,images/1210_167_Church_Street__Toronto_C08__ON.jpg
"$2,800/mo","434 Athabasca Street E,",Moose Jaw,SK,"Retail ",https://www.zolo.ca/moose-jaw-real-estate/434-athabasca-street-east,images/434_Athabasca_Street_E__Moose_Jaw__SK.jpg
"$799,000","602-181 Huron Street,",Toronto C01,ON,2 bed 1 bath,https://www.zolo.ca/toronto-c01-real-estate/181-huron-street/602,images/602_181_Huron_Street__Toronto_C01__ON.jpg
"$184,900","1-601 Lansdowne Avenue,",Saskatoon,SK,2 bed 1 bath,https://www.zolo.ca/saskatoon-real-estate/601-lansdowne-avenue/1,images/1_601_Lansdowne_Avenue__Saskatoon__SK.jpg
"$609,900","146 Alsek Crescent,",Haines Junction,YT,4 bed 3 bath,https://www.zolo.ca/haines-junction-real-estate/146-alsek-crescent,images/146_Alsek_Crescent__Haines_Junction__YT.jpg
"$498,000","219 Reid Road,",Whitehorse South,YT,4 bed 4 bath,https://www.zolo.ca/whitehorse-south-real-estate/219-reid-road,images/219_Reid_Road__Whitehorse_South__YT.jpg
"$250,000","198 Reid Road,",Whitehorse South,YT,1 bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/198-reid-road,images/198_Reid_Road__Whitehorse_South__YT.jpg
"$279,900","61-986 Range Road,",Whitehorse,YT,2 bed 1 bath,https://www.zolo.ca/whitehorse-real-estate/986-range-road/61,images/61_986_Range_Road__Whitehorse__YT.jpg
"$509,000","18-75 Sybil Circle,",Whitehorse,YT,3 bed 3 bath,https://www.zolo.ca/whitehorse-real-estate/75-sybil-circle/18,images/18_75_Sybil_Circle__Whitehorse__YT.jpg
"$829,900","2762 North Klondike Highway,",Whitehorse North,YT,1 bed 1 bath,https://www.zolo.ca/whitehorse-north-real-estate/2762-north-klondike-highway,images/2762_North_Klondike_Highway__Whitehorse_North__YT.jpg
"$559,000","192 Witch Hazel Drive,",Whitehorse,YT,3 bed 3 bath,https://www.zolo.ca/whitehorse-real-estate/192-witch-hazel-drive,images/192_Witch_Hazel_Drive__Whitehorse__YT.jpg
"$1,100,000","7223-7255 7th Avenue,",Whitehorse,YT,– bed – bath,https://www.zolo.ca/whitehorse-real-estate/7255-7th-avenue/7223,images/7223_7255_7th_Avenue__Whitehorse__YT.jpg
"$649,000","32 Finch Crescent,",Whitehorse,YT,3 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/32-finch-crescent,images/32_Finch_Crescent__Whitehorse__YT.jpg
"$669,800","39 Eldorado Drive,",Whitehorse,YT,5 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/39-eldorado-drive,images/39_Eldorado_Drive__Whitehorse__YT.jpg
"$362,500","216-25 Gleaner Avenue,",Whitehorse,YT,2 bed 1 bath,https://www.zolo.ca/whitehorse-real-estate/25-gleaner-avenue/216,images/216_25_Gleaner_Avenue__Whitehorse__YT.jpg
"$639,000","206 Luella Lane,",Whitehorse,YT,3 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/206-luella-lane,images/206_Luella_Lane__Whitehorse__YT.jpg
"$569,000","58 Topaz Crescent,",Whitehorse,YT,3 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/58-topaz-crescent,images/58_Topaz_Crescent__Whitehorse__YT.jpg
"$349,000","1261 Annie Lake Road,",Whitehorse South,YT,– bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/1261-annie-lake-road,images/1261_Annie_Lake_Road__Whitehorse_South__YT.jpg
"$699,900","50 Ellwood Street,",Whitehorse,YT,4 bed 3 bath,https://www.zolo.ca/whitehorse-real-estate/50-ellwood-street,images/50_Ellwood_Street__Whitehorse__YT.jpg
"$269,900","131 Emerald Crescent,",Whitehorse South,YT,– bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/131-emerald-crescent,images/131_Emerald_Crescent__Whitehorse_South__YT.jpg
"$575,000","600 Drury Street,",Whitehorse,YT,– bed – bath,https://www.zolo.ca/whitehorse-real-estate/600-drury-street,images/600_Drury_Street__Whitehorse__YT.jpg
